procedure_name,speciality,tier,facility,ward,cghs_code,rate
,Investigation,I,,WARD,,
2-5 Gy OR Weekly hypofractionation of >5 Gy with 3D CRT plan in 1-2,,I,,WARD,,
fractions. No IGRT allowed.),,,,,,
of 2- 5 Gy OR Weekly hypofractionation >5 Gy with 3D CRT plan in 1-2,,I,,WARD,,
fractions. with IGRT),,,,,,
fraction and <10 IGRT (CBCT or MVCT or EPID) OR Cobalt Radical with,,I,,WARD,,
LA boost including electron boost OR TSET OR TBI),,,,,,
Rapid Arc/VMAT with >10 IGRT (CBCT or MVCT or EPID) OR LA IMRT/,,I,,WARD,,
Rapid Arc/VMAT with <5Gy per fraction and >10 IGRT (CBCT or MVCT,,,,,,
or EPID) OR Adaptive RT OR CSI OR Multisite treatment outside one,,,,,,
FOV or one plan OR SBRT OR SRS OR SRT (per fraction dose >5Gy)),,,,,,
,,I,,WARD,,
,,I,,WARD,,
,,I,,WARD,,
,,I,,WARD,,
,,I,,WARD,,
,,I,,WARD,,
,,I,,WARD,,
,,I,,WARD,,
,,I,,WARD,,
,,I,,WARD,,
,Investigation,I,,WARD,,
,Investigation,I,,WARD,,
,Investigation,I,,WARD,,
,Investigation,I,,WARD,,
,Investigation,I,,WARD,,
,Investigation,I,,WARD,,
angioplasty (PTCA) /Percutaneous coronary intervention (PCI) with,,I,,WARD,,
Vascular closure device (VCD) excluding the cost of Stent. Cost of Drug,,,,,,
Eluting Balloon allowed in lieu of Stent,,,,,,
angioplasty (PTCA) / Percutaneous coronary intervention (PCI) without,,I,,WARD,,
Vascular closure device (VCD) excluding the cost of Stent.Cost of Drug,,,,,,
Eluting Balloon allowed in lieu of Stent,,,,,,
,,I,,WARD,,
Commissurotomy (PTMC),,I,,WARD,,
Single Chamber,,I,,WARD,,
the cost of Pacemaker,,I,,WARD,,
of Pacemaker,,I,,WARD,,
"Valve Replacement (TAVR) - Procedure Cost. (Approval of Director,",,I,,WARD,,
CGHS in consultation with Special Technical Committee (STC) is,,,,,,
required for this procedure),,,,,,
,Implant(Valve),I,,WARD,,
GST(Procedure Charge included in PTCA),Procedure,I,,WARD,,
(Procedure Charge included in PTCA),Procedure,I,,WARD,,
Intravascular optical coherence tomography (IVOCT) / Intravascular,Procedure,I,,WARD,,
Ventricular Assist System excluding GST(Procedure cost is included in,,,,,,
PTCA),,,,,,
"Including GST (Approval of Director, CGHS in consultation with Special",Procedure,I,,WARD,,
Technical Committee (STC) is required for this procedure),,,,,,
Ligation,Cardiac Surgery,I,,WARD,,
,Procedure,,,,,
RFA Catheter,Cardiac Surgery,I,,WARD,,
,Procedure,,,,,
,Cardiac Surgery,I,,WARD,,
,Procedure,,,,,
,Cardiac Surgery,I,,WARD,,
,Procedure,,,,,
excluding the cost of the Device,Cardiac Surgery,I,,WARD,,
,Procedure,,,,,
,Procedure,,,,,
,Procedure,,,,,
,Procedure,,,,,
,,I,,WARD,,
,Hepatobiliary,I,,WARD,,
,Investigation,,,,,
,Hepatobiliary/Nuclear,I,,WARD,,
,Medicine Investigation,,,,,
,Hepatobiliary/Nuclear,I,,WARD,,
,Medicine Investigation,,,,,
RBCs.,Hepatobiliary/Nuclear,I,,WARD,,
,Medicine Investigation,,,,,
,Hepatobiliary/Nuclear,I,,WARD,,
,Medicine Investigation,,,,,
radiopharmaceuticals,Hepatobiliary/Nuclear,I,,WARD,,
,Medicine Investigation,,,,,
,Interventional,I,,WARD,,
,Radiology,,,,,
,Investigation,,,,,
,Endoscopic,I,,WARD,,
,Procedures,,,,,
,Endoscopic,I,,WARD,,
,Procedures,,,,,
,Endoscopic,I,,WARD,,
,Procedures,,,,,
,Endoscopic Procedures,I,,WARD,,
,Endoscopic Procedures,I,,WARD,,
,Endoscopic Procedures,I,,WARD,,
,Interventional Radiology Procedures,I,,WARD,,
,Procedure,I,,WARD,,
,Gynaecology Procedure,I,,WARD,,
,Gynaecology Procedure,I,,WARD,,
,Gynaecology Procedure,I,,WARD,,
,Gynaecology Procedure,I,,WARD,,
,Gynaecology Procedure,I,,WARD,,
,Gynaecology Procedure,I,,WARD,,
,Gynaecology Procedure,I,,WARD,,
,Gynaecology Procedure,I,,WARD,,
,Urology Investigation,I,,WARD,,
needle aspiration (TBNA),,I,,WARD,,
Whatsoever Name/ Specifications,,I,,WARD,,
Alloy Coated/Oxidized Zirconium (OxZr) Alloy/Hi-Flex -Tibial,,I,,WARD,,
Component By Whatsoever Name/ Specifications,,,,,,
Specification (Any Material),,I,,WARD,,
,,I,,WARD,,
Single Unit By Whatsoever Name Specification -Polyethylene or cross,,I,,WARD,,
linked polyethylene or highly cross linked polyethylene or any other,,,,,,
material,,,,,,
"Single Unit By Whatsoever Name Specification -Tibial : Metallic,",,I,,WARD,,
Insert : Polyethylene or cross linked polyethylene or any other material.,,,,,,
Name/ Specifications,,I,,WARD,,
Name/ Specifications,,I,,WARD,,
Whatsoever Name / Specification (Any Material),,I,,WARD,,
Name / Specifications,,I,,WARD,,
Stage-II,,I,,WARD,,
Unilateral,,I,,WARD,,
,,I,,WARD,,
